from,to,vote,relation,show,instagram,love,
liba,jioc,,,,2,,
jede,makl,,,,2,1,
PL,sigo,,2,dShdS,,,
PL,stsc,,2,dShdS,,,
PPM,hara,,2,dShdS,,,
TH,joho,,2,dShdS,,,
TH,tiho,,2,dShdS,,,
KM,tope,,2,dShdS,,,
KM,palj,,2,dShdS,,,
R,liba,,2,dShdS,,,
R,rywö,,2,dShdS,,,
BA,edpi,,2,dShdS,,,
R48,mikl,,2,dShdS,,,
S&S,jede,,2,dShdS,,,
NWG,makl,,2,dShdS,,,
FM,paza,,2,dShdS,,,
FM,loma,,2,dShdS,,,
aisi,lino,,,,1,,
anla,anse,,,,1,,
anla,anre,,,,1,,
anla,bekl,,,,1,,
anla,caka,,,,1,,
anla,delo,,,,1,,
anla,gifa,,,,1,,
anla,jost,,,,1,,
anla,lino,,,,1,,
anla,pise,,,,1,,
anla,shfi,,,,1,,
anla,stdü,,,,1,,
anla,tata,,,,1,,
anla,coci,,,,1,,
anla,sabe,,,,1,,
anla,arie,,,,1,,
anla,jeig,,,,1,,
anla,tako,,,,1,,
anse,aisi,,,,1,,
anse,anla,,,,1,,
anse,anre,,,,1,,
anse,caka,,,,1,,
anse,chok,,,,1,,
anse,frfu,,,,1,,
anse,hasu,,,,1,,
anse,jost,,,,1,,
anse,lale,,,,1,,
anse,lino,,,,1,,
anse,maan,,,,1,,
anse,pise,,,,1,,
anse,shfi,,,,1,,
anse,stdü,,,,1,,
anse,nagr,,,,1,,
anre,anla,,,,1,,
anre,anse,,,,1,,
anre,caka,,,,1,,
anre,chok,,,,1,,
anre,delo,,,,1,,
anre,frfu,,,,1,,
anre,gifa,,,,1,,
anre,hasu,,,,1,,
anre,jost,,,,1,,
anre,lale,,,,1,,
anre,lino,,,,1,,
anre,maan,,,,1,,
anre,pise,,,,1,,
anre,shfi,,,,1,,
anre,stdü,,,,1,,
anre,tata,,,,1,,
anre,gisi,,,,1,,
anre,coci,,,,1,,
anre,lubi,,,,1,,
anre,giof,,,,1,,
anre,mimo,,,,1,,
anre,hakr,,,,1,,
anre,hufa,,,,1,,
bekl,anla,,,,1,,
bekl,anse,,,,1,,
bekl,anre,,,,1,,
bekl,caka,,,,1,,
bekl,chok,,,,1,,
bekl,dawe,,,,1,,
bekl,delo,,,,1,,
bekl,frfu,,,,1,,
bekl,hasu,,,,1,,
bekl,jehi,,,,1,,
bekl,jost,,,,1,,
bekl,lino,,,,1,,
bekl,shfi,,,,1,,
bekl,stdü,,,,1,,
bekl,tata,,,,1,,
bekl,stsc,,,,1,,
bekl,mikl,,,,1,,
bekl,jede,,,,1,,
bekl,saja,,,,1,,
bekl,ersi,,,,1,,
bekl,coci,,,,1,,
bekl,jioc,,,,1,,
bekl,stst,,,,1,,
bekl,umte,,,,1,,
caka,aisi,,,,1,,
caka,anla,,,,1,,
caka,anse,,,,1,,
caka,anre,,,,1,,
caka,bekl,,,,1,,
caka,delo,,,,1,,
caka,gifa,,,,1,,
caka,hasu,,,,1,,
caka,jehi,,,,1,,
caka,jost,,,,1,,
caka,lino,,,,1,,
caka,pise,,,,1,,
caka,shfi,,,,1,,
caka,stdü,,,,1,,
caka,tope,,,,1,,
caka,palj,,,,1,,
caka,edpi,,,,1,,
caka,mikl,,,,1,,
caka,lubi,,,,1,,
caka,sasi,,,,1,,
caka,lamo,,,,1,,
caka,inki,,,,1,,
caka,kenj,,,,1,,
caka,cast,,,,1,,
caka,olgi,,,,1,,
caka,stst,,,,1,,
caka,umte,,,,1,,
caka,tako,,,,1,,
chok,anse,,,,1,,
chok,anre,,,,1,,
chok,bekl,,,,1,,
chok,frfu,,,,1,,
chok,jost,,,,1,,
chok,maan,,,,1,,
chok,pise,,,,1,,
chok,stdü,,,,1,,
chok,stsc,,,,1,,
chok,palj,,,,1,,
chok,mikl,,,,1,,
chok,jede,,,,1,,
chok,makl,,,,1,,
chok,saja,,,,1,,
chok,ersi,,,,1,,
chok,coci,,,,1,,
chok,sabe,,,,1,,
chok,lamo,,,,1,,
chok,bekl,,,,1,,
chok,umte,,,,1,,
dawe,delo,,,,1,,
dawe,frfu,,,,1,,
dawe,jehi,,,,1,,
dawe,tata,,,,1,,
dawe,mikl,,,,1,,
dawe,tikü,,,,1,,
dawe,jioc,,,,1,,
delo,aisi,,,,1,,
delo,anla,,,,1,,
delo,anre,,,,1,,
delo,caka,,,,1,,
delo,dawe,,,,1,,
delo,gifa,,,,1,,
delo,jehi,,,,1,,
delo,jost,,,,1,,
delo,lino,,,,1,,
delo,maan,,,,1,,
delo,tata,,,,1,,
delo,joho,,,,1,,
delo,palj,,,,1,,
delo,mikl,,,,1,,
delo,jede,,,,1,,
delo,makl,,,,1,,
delo,paza,,,,1,,
delo,loma,,,,1,,
delo,saja,,,,1,,
delo,ersi,,,,1,,
delo,coci,,,,1,,
delo,lubi,,,,1,,
delo,brpa,,,,1,,
delo,umte,,,,1,,
delo,garo,,,,1,,
gifa,anla,,,,1,,
gifa,anre,,,,1,,
gifa,caka,,,,1,,
gifa,delo,,,,1,,
gifa,lino,,,,1,,
gifa,pise,,,,1,,
gifa,tata,,,,1,,
gifa,jede,,,,1,,
gifa,saja,,,,1,,
gifa,lamo,,,,1,,
gifa,arie,,,,1,,
gifa,becm,,,,1,,
gifa,saya,,,,1,,
gifa,evbe,,,,1,,
hasu,anse,,,,1,,
hasu,anre,,,,1,,
hasu,caka,,,,1,,
hasu,frfu,,,,1,,
hasu,lale,,,,1,,
hasu,lino,,,,1,,
hasu,maan,,,,1,,
hasu,pise,,,,1,,
hasu,stdü,,,,1,,
hasu,tata,,,,1,,
hasu,palj,,,,1,,
hasu,jede,,,,1,,
hasu,lubi,,,,1,,
hasu,aula,,,,1,,
hasu,nagr,,,,1,,
hasu,lamo,,,,1,,
hasu,saja,,,,1,,
hasu,sisa,,,,1,,
hasu,becm,,,,1,,
hasu,lefü,,,,1,,
hasu,jioc,,,,1,,
hasu,joest,,,,1,,
hasu,jelo,,,,1,,
jost,anla,,,,1,,
jost,anse,,,,1,,
jost,bekl,,,,1,,
jost,caka,,,,1,,
jost,chok,,,,1,,
jost,delo,,,,1,,
jost,frfu,,,,1,,
jost,jehi,,,,1,,
jost,lale,,,,1,,
jost,lino,,,,1,,
jost,maan,,,,1,,
jost,pise,,,,1,,
jost,stdü,,,,1,,
jost,tata,,,,1,,
jost,tope,,,,1,,
jost,palj,,,,1,,
jost,rywö,,,,1,,
jost,edpi,,,,1,,
jost,mikl,,,,1,,
jost,makl,,,,1,,
jost,paza,,,,1,,
jost,loma,,,,1,,
jost,saja,,,,1,,
jost,ersi,,,,1,,
jost,coci,,,,1,,
jost,lubi,,,,1,,
jost,chmo,,,,1,,
jost,sasi,,,,1,,
jost,nagr,,,,1,,
jost,tikü,,,,1,,
jost,sabe,,,,1,,
jost,lamo,,,,1,,
jost,inki,,,,1,,
jost,saja,,,,1,,
jost,kenj,,,,1,,
jost,henn,,,,1,,
jost,joma,,,,1,,
jost,nell,,,,1,,
jost,lefü,,,,1,,
jost,caog,,,,1,,
jost,lenn,,,,1,,
jost,olgi,,,,1,,
jost,jioc,,,,1,,
jost,stst,,,,1,,
jost,liga,,,,1,,
jost,yasy,,,,1,,
jost,dicv,,,,1,,
jost,jogü,,,,1,,
jost,masp,,,,1,,
jost,brpa,,,,1,,
jost,umte,,,,1,,
jost,jeig,,,,1,,
jost,garo,,,,1,,
jost,dibr,,,,1,,
jost,tako,,,,1,,
jost,joest,,,,1,,
jost,josst,,,,1,,
jost,jelo,,,,1,,
jost,navo,,,,1,,
lale,hasu,,,,1,,
lale,jost,,,,1,,
lale,lino,,,,1,,
lale,maan,,,,1,,
lale,pise,,,,1,,
lale,palj,,,,1,,
lale,nagr,,,,1,,
lale,lamo,,,,1,,
lale,anro,,,,1,,
lale,elpi,,,,1,,
lale,henn,,,,1,,
lale,brpa,,,,1,,
lale,garo,,,,1,,
lale,tako,,,,1,,
lale,joest,,,,1,,
lale,jelo,,,,1,,
lino,aisi,,,,1,,
lino,anla,,,,1,,
lino,anse,,,,1,,
lino,anre,,,,1,,
lino,bekl,,,,1,,
lino,caka,,,,1,,
lino,delo,,,,1,,
lino,gifa,,,,1,,
lino,hasu,,,,1,,
lino,jost,,,,1,,
lino,lale,,,,1,,
lino,maan,,,,1,,
lino,pise,,,,1,,
lino,stdü,,,,1,,
lino,tata,,,,1,,
lino,saja,,,,1,,
lino,gisi,,,,1,,
lino,coci,,,,1,,
lino,sabe,,,,1,,
lino,becm,,,,1,,
lino,nell,,,,1,,
lino,fipa,,,,1,,
lino,dicv,,,,1,,
lino,evbe,,,,1,,
lino,hufa,,,,1,,
maan,delo,,,,1,,
maan,hasu,,,,1,,
maan,jost,,,,1,,
maan,lale,,,,1,,
maan,lino,,,,1,,
maan,pise,,,,1,,
maan,stdü,,,,1,,
maan,tata,,,,1,,
maan,dicv,,,,1,,
mase,anre,,,,1,,
mase,bekl,,,,1,,
mase,caka,,,,1,,
mase,delo,,,,1,,
mase,frfu,,,,1,,
mase,maan,,,,1,,
mase,shfi,,,,1,,
mase,stdü,,,,1,,
shfi,anla,,,,1,,
shfi,anse,,,,1,,
shfi,anre,,,,1,,
shfi,bekl,,,,1,,
shfi,caka,,,,1,,
shfi,pise,,,,1,,
shfi,stdü,,,,1,,
stdü,anla,,,,1,,
stdü,anse,,,,1,,
stdü,anre,,,,1,,
stdü,bekl,,,,1,,
stdü,caka,,,,1,,
stdü,chok,,,,1,,
stdü,dawe,,,,1,,
stdü,delo,,,,1,,
stdü,frfu,,,,1,,
stdü,gifa,,,,1,,
stdü,hasu,,,,1,,
stdü,jost,,,,1,,
stdü,lale,,,,1,,
stdü,lino,,,,1,,
stdü,maan,,,,1,,
stdü,pise,,,,1,,
stdü,shfi,,,,1,,
stdü,tata,,,,1,,
stdü,stsc,,,,1,,
stdü,tope,,,,1,,
stdü,arie,,,,1,,
stdü,jioc,,,,1,,
stdü,fipa,,,,1,,
stdü,umte,,,,1,,
stdü,navo,,,,1,,
stdü,paro,,,,1,,
stdü,saya,,,,1,,
stdü,evbe,,,,1,,
stdü,giof,,,,1,,
stdü,mimo,,,,1,,
stdü,hakr,,,,1,,
stdü,hufa,,,,1,,
tata,anla,,,,1,,
tata,anre,,,,1,,
tata,bekl,,,,1,,
tata,dawe,,,,1,,
tata,delo,,,,1,,
tata,frfu,,,,1,,
tata,gifa,,,,1,,
tata,hasu,,,,1,,
tata,jehi,,,,1,,
tata,jost,,,,1,,
tata,lino,,,,1,,
tata,maan,,,,1,,
tata,pise,,,,1,,
tata,stsc,,,,1,,
tata,hara,,,,1,,
tata,joho,,,,1,,
tata,tiho,,,,1,,
tata,tope,,,,1,,
tata,palj,,,,1,,
tata,liba,,,,1,,
tata,rywö,,,,1,,
tata,edpi,,,,1,,
tata,mikl,,,,1,,
tata,jede,,,,1,,
tata,makl,,,,1,,
tata,paza,,,,1,,
tata,loma,,,,1,,
tata,saja,,,,1,,
tata,coci,,,,1,,
tata,aula,,,,1,,
tata,sasi,,,,1,,
tata,jegr,,,,1,,
tata,tikü,,,,1,,
tata,chbr,,,,1,,
tata,lamo,,,,1,,
