name,name_real,generation,birthyear,gender,origin,first_show,first_show_year,role,business,insta,business_real
chmo,Chelsea Montgomery,gz,1998,1,Deutschland,dP,2025,1,6,muddern__,Podcast
alki,Alicia King,,,1,Deutschland,Goodbye_Deutschland,2013,1,6,alicia_king_cannes,Ingenieurin
emfe,Emma Fernlund,gz,2000,1,Deutschland,Temptation_Island_VIP,2023,1,3,emmashealth_,Fitness_Coaching
aula,Aurelia Lamprecht,gz,1996,1,Deutschland,Love_Island,2020,1,2,aurelialamprecht,
sasi,Sandra Sicora,gy,1992,1,Deutschland,Ex_on_the_Beach,2021,1,2,sandra.sicora,
nagr,Nadja Großmann,gz,2000,1,Deutschland,Love_Fool,2023,1,6,nadja__1406,Sex
jegr,Jenny Grassl,gz,2000,1,Deutschland,Love_Island,2023,1,2,jennygrassl_,
tikü,Tim Kühnel,gz,1996,2,Deutschland,Love_Island,2020,1,6,timkuehnel,Podcast
alri,Alessandra Riili,gz,1997,1,Deutschland,Köln_50667,2025,1,6,alessandra_riili,Schauspiel
chbr,Chris Broy,gy,1989,2,Deutschland,RTL_Explosiv,2020,1,5,chris_broy,Boxen
sabe,Saskia Beecks,gy,1988,1,Deutschland,X-Diaries,2010,1,2,saskiabeecks,
lamo,Laura Morante,gy,1990,1,Deutschland,We_Love_Sölden,2013,1,1,lauramorante___,Friseur
inki,Ina Kina,gy,1994,1,Deutschland,Are_You_The_One?,2025,1,2,ina.kina,
mldo,Mladen Doric,gy,1994,2,Deutschland,Das_Sommerhaus_der_Normalos,2025,1,6,(macht aktuell Auszeit),Buchhaltung
LFA,La Famila Artists,,,,,,,2,,,
SB,Summerfield Booking,,,,,,,2,,,
CE,Captain Eff,,,,,,,2,,,
BAS,Be A Statement Management,,,,,,,2,,,
BHA,Beyond Heights Agency,,,,,,,2,,,
FM,FAM Management,,,,,,,2,,,
SM,Standout Management,,,,,,,2,,,
LU,Level UP,,,,,,,2,,,
dP,Der Promihof,,2025,,,,,3,,,
saja,Sandra Janina,gz,1999,1,Deutschland,Love_Island,2020,1,2,sandra_janina_,
kenj,Kevin Njie,gz,1996,2,Deutschland,Too_hot_too_handle,2020,1,0,kevin.njie,
sisa,Sidar Sahin,gz,1999,2,Deutschland,Are_You_The_One?,2023,1,2,sidarsahin01,
xast,Xander Stephinger,gz,1998,2,Deutschland,Make_Love_Fake_Love,2024,1,2,xander_stephinger,
anro,Antonia Rot,gz,2000,1,Deutschland,Germany_Shore,2022,1,3,antonia.rot,Sex
arie,Ariel,gz,2003,1,Schweiz,Love_Fool,2023,1,2,_ariel__61,
becm,Beverly Cmua,gy,1994,1,Österreich,Take_Me_Out,2021,1,2,beverly.cmn,
elpi,Elli Pinilla,gz,1998,1,Deutschland,First_Dates_Hotel,2024,1,2,elissia.lp,
henn,Henna,gz,1999,1,Deutschland,Are_You_The_One?,2022,1,6,hennschka,Podcast
joma,Joanna Majolie,gz,1998,1,Deutschland,Are_You_The_One?,2025,1,2,joanna.majolie,
